Method,min lambda,min jtlide_lambda,dataset,size,trial
DAG,-0.0059341,-0.23882,2,500,3
DAG,-0.00071385,-0.24108,3,500,3
DAG,-0.0011281,-0.23651,4,500,3
DAG,-0.0022551,-0.2608,5,500,3
DAG,-0.0057359,-0.23364,6,500,3
DAG,-0.0016729,-0.25913,7,500,3
DAG,-0.001163,-0.2537,8,500,3
DAG,-0.0022171,-0.24807,9,500,3
DAG,-0.0016091,-0.23916,10,500,3
DAG,-0.0023772,-0.24169,1,500,4
DAG,-0.0013774,-0.2505,2,500,4
DAG,-0.0029928,-0.24568,3,500,4
DAG,-0.00098613,-0.24314,4,500,4
DAG,-0.001729,-0.24264,5,500,4
DAG,-0.0022228,-0.24193,6,500,4
DAG,-0.00071467,-0.24946,7,500,4
DAG,-0.0049466,-0.24717,8,500,4
DAG,-0.0018162,-0.23892,9,500,4
DAG,-0.00095444,-0.24268,10,500,4
DAG,-0.0014129,-0.27503,1,500,5
DAG,-0.0011541,-0.24208,2,500,5
DAG,-0.0027895,-0.25245,3,500,5
DAG,-0.00024248,-0.24873,4,500,5
DAG,-0.0054562,-0.26798,5,500,5
DAG,-0.0036849,-0.27079,6,500,5
DAG,-0.0017993,-0.24749,7,500,5
DAG,-0.0017044,-0.27172,8,500,5
DAG,-0.0068421,-0.23546,9,500,5
DAG,-0.0023511,-0.25061,10,500,5
DAG,-0.00091124,-0.25034,1,500,6
DAG,-0.0011093,-0.25079,2,500,6
DAG,-0.0023106,-0.23311,3,500,6
DAG,-0.0015747,-0.26089,4,500,6
DAG,-0.000313,-0.26086,5,500,6
DAG,-0.0013551,-0.25868,6,500,6
DAG,-0.0029141,-0.26326,7,500,6
DAG,-0.00010804,-0.27233,8,500,6
DAG,-0.00049029,-0.26332,9,500,6
DAG,-0.00047561,-0.23402,10,500,6
DAG,-0.0033192,-0.2652,1,500,7
DAG,-0.0010826,-0.26847,2,500,7
DAG,-0.00093139,-0.23756,3,500,7
DAG,-0.00064348,-0.23434,4,500,7
DAG,-0.005255,-0.25475,5,500,7
DAG,-0.0095747,-0.25384,6,500,7
DAG,-0.003082,-0.25373,7,500,7
DAG,-0.0036156,-0.24065,8,500,7
DAG,-0.0033963,-0.26156,9,500,7
DAG,-0.0013913,-0.23184,10,500,7
DAG,-0.0048554,-0.23788,1,500,8
DAG,-0.0047302,-0.26151,2,500,8
DAG,-0.0058449,-0.23766,3,500,8
DAG,-0.0024115,-0.27938,4,500,8
DAG,-0.00020707,-0.26933,5,500,8
DAG,-0.0012163,-0.25916,6,500,8
DAG,-0.00030584,-0.23635,7,500,8
DAG,-0.0037382,-0.24627,8,500,8
DAG,-0.00013718,-0.25917,9,500,8
DAG,-0.0022768,-0.25162,10,500,8
DAG,-0.0042093,-0.24093,1,500,9
DAG,-0.0042778,-0.25302,2,500,9
DAG,-0.015046,-0.25379,3,500,9
DAG,-0.0022641,-0.24983,4,500,9
DAG,-0.00062425,-0.24967,5,500,9
DAG,-8.5263E-05,-0.24621,6,500,9
DAG,-0.0043128,-0.25098,7,500,9
DAG,-0.0073854,-0.2514,8,500,9
DAG,-0.0034055,-0.23812,9,500,9
DAG,-0.00040309,-0.25389,10,500,9
DAG,-0.0033834,-0.26252,1,500,10
DAG,-0.00065334,-0.26071,2,500,10
DAG,-0.00050608,-0.24452,3,500,10
DAG,-0.0031328,-0.24547,4,500,10
DAG,-0.0028868,-0.24508,5,500,10
DAG,-0.003187,-0.25404,6,500,10
DAG,-0.000514,-0.24913,7,500,10
DAG,-0.0021328,-0.26113,8,500,10
DAG,-0.0011576,-0.2768,9,500,10
DAG,-0.00089157,-0.25441,10,500,10
DAG,-0.00056605,-0.2927,1,750,1
DAG,-0.00045105,-0.28546,2,750,1
DAG,-0.0013574,-0.28098,3,750,1
DAG,-0.00088728,-0.29472,4,750,1
DAG,-0.0019327,-0.24195,5,750,1
DAG,-0.0015466,-0.26231,6,750,1
DAG,-0.0024545,-0.25844,7,750,1
DAG,-0.00065426,-0.2919,8,750,1
DAG,-0.00047012,-0.31466,9,750,1
DAG,-0.00051522,-0.27641,10,750,1
DAG,-0.00036187,-0.30336,1,750,2
DAG,-0.0028967,-0.27461,2,750,2
DAG,-0.0018398,-0.25902,3,750,2
DAG,-0.002601,-0.29511,4,750,2
DAG,-0.0022718,-0.27584,5,750,2
DAG,-0.00026006,-0.25685,6,750,2
DAG,-0.0015583,-0.2749,7,750,2
DAG,-0.00056396,-0.31509,8,750,2
DAG,-0.0004689,-0.29165,9,750,2
DAG,-0.0038287,-0.28558,10,750,2
DAG,-0.00057661,-0.2586,1,750,3
DAG,-0.00034354,-0.26521,2,750,3
DAG,-0.00015787,-0.27711,3,750,3
DAG,-0.00054071,-0.28416,4,750,3
DAG,-0.00016089,-0.27288,5,750,3
DAG,-0.00042973,-0.28225,6,750,3
DAG,-0.00013489,-0.2866,7,750,3
DAG,-0.00041285,-0.28481,8,750,3
DAG,-0.0029612,-0.26978,9,750,3
DAG,-0.0015623,-0.26729,10,750,3
DAG,-0.00076936,-0.28846,1,750,4
DAG,-0.0031073,-0.2664,2,750,4
DAG,-0.00036503,-0.29842,3,750,4
DAG,-0.0021392,-0.26635,4,750,4
DAG,-0.00076379,-0.28885,5,750,4
DAG,-0.0031579,-0.29732,6,750,4
DAG,-0.00027697,-0.28005,7,750,4
DAG,-0.0011349,-0.26571,8,750,4
DAG,-0.0042006,-0.28425,9,750,4
DAG,-0.0031416,-0.29431,10,750,4
DAG,-0.0059331,-0.26964,1,750,5
DAG,-6.1692E-05,-0.26508,2,750,5
DAG,-0.0010811,-0.26784,3,750,5
DAG,-0.0019324,-0.27699,4,750,5
DAG,-0.007689,-0.26488,5,750,5
DAG,-0.0011372,-0.27915,6,750,5
DAG,-0.0041789,-0.27596,7,750,5
DAG,-0.0018673,-0.29299,8,750,5
DAG,-0.004347,-0.26739,9,750,5
DAG,-0.00046018,-0.28003,10,750,5
DAG,-0.0022665,-0.28267,1,750,6
DAG,-0.0031665,-0.28929,2,750,6
DAG,-0.002497,-0.29325,3,750,6
DAG,-0.0014346,-0.26369,4,750,6
DAG,-0.0030514,-0.27422,5,750,6
DAG,-0.0035139,-0.25758,6,750,6
DAG,-0.0007749,-0.29104,7,750,6
DAG,-0.00046489,-0.27525,8,750,6
DAG,-0.0002636,-0.28432,9,750,6
DAG,-0.0014731,-0.27802,10,750,6
DAG,-0.0021377,-0.26004,1,750,7
DAG,-0.00099653,-0.25972,2,750,7
DAG,-0.0017824,-0.26546,3,750,7
DAG,-0.0083096,-0.25937,4,750,7
DAG,-0.00025416,-0.26542,5,750,7
DAG,-0.0023646,-0.29802,6,750,7
DAG,-0.0049747,-0.27787,7,750,7
DAG,-0.0024934,-0.25658,8,750,7
DAG,-0.00043497,-0.27051,9,750,7
DAG,-0.0029106,-0.2846,10,750,7
DAG,-0.0037186,-0.28187,1,750,8
DAG,-0.0013932,-0.2811,2,750,8
DAG,-0.00085889,-0.27169,3,750,8
DAG,-0.0018052,-0.27657,4,750,8
DAG,-3.5237E-05,-0.29246,5,750,8
DAG,-0.0018,-0.30353,6,750,8
DAG,-0.00012621,-0.27846,7,750,8
DAG,-0.00079266,-0.26545,8,750,8
DAG,-0.0033523,-0.26658,9,750,8
DAG,-0.00058286,-0.2728,10,750,8
DAG,-0.0033887,-0.29857,1,750,9
DAG,-0.0023765,-0.28497,2,750,9
DAG,-0.0023273,-0.27859,3,750,9
DAG,-0.0034887,-0.24574,4,750,9
DAG,-0.0036492,-0.269,5,750,9
DAG,-0.0025112,-0.31368,6,750,9
DAG,-0.0014861,-0.27129,7,750,9
DAG,-0.00033259,-0.27992,8,750,9
DAG,-0.0010313,-0.26042,9,750,9
DAG,-0.00051937,-0.2719,10,750,9
DAG,-0.0022447,-0.29074,1,750,10
DAG,-6.7672E-05,-0.2699,2,750,10
DAG,-0.00029513,-0.28244,3,750,10
DAG,-0.0010851,-0.28481,4,750,10
DAG,-0.0008106,-0.29257,5,750,10
DAG,-0.0087076,-0.27148,6,750,10
DAG,-0.0046396,-0.27041,7,750,10
DAG,-0.0011485,-0.25964,8,750,10
DAG,-0.0027825,-0.2719,9,750,10
DAG,-0.0014017,-0.27479,10,750,10
DAG,-0.0013042,-0.29959,1,1000,1
DAG,-0.0027218,-0.28615,2,1000,1
DAG,-0.0013082,-0.30087,3,1000,1
DAG,-0.00075774,-0.29894,4,1000,1
DAG,-0.0030005,-0.33045,5,1000,1
DAG,-0.00049732,-0.29722,6,1000,1
DAG,-0.0016885,-0.3161,7,1000,1
DAG,-0.0025899,-0.30685,8,1000,1
DAG,-0.00091525,-0.29082,9,1000,1
DAG,-0.0028576,-0.28017,10,1000,1
DAG,-0.00076505,-0.30029,1,1000,2
DAG,-0.00050045,-0.30516,2,1000,2
DAG,-0.00047294,-0.30939,3,1000,2
DAG,-0.00078994,-0.27194,4,1000,2
DAG,-0.00099816,-0.29579,5,1000,2
DAG,-0.001759,-0.33241,6,1000,2
DAG,-0.0063915,-0.32512,7,1000,2
DAG,-0.00060731,-0.31462,8,1000,2
DAG,-0.0003317,-0.30224,9,1000,2
DAG,-0.00048394,-0.31166,10,1000,2
DAG,-0.00043032,-0.30746,1,1000,3
DAG,-0.0004921,-0.28206,2,1000,3
DAG,-0.00022117,-0.30655,3,1000,3
DAG,-0.00019368,-0.28603,4,1000,3
DAG,-0.00022063,-0.29701,5,1000,3
DAG,-0.0022802,-0.30362,6,1000,3
DAG,-0.0072304,-0.3081,7,1000,3
DAG,-0.0029393,-0.30647,8,1000,3
DAG,-0.0014475,-0.29442,9,1000,3
DAG,-0.00026691,-0.27342,10,1000,3
DAG,-0.0060203,-0.3004,1,1000,4
DAG,-0.00024656,-0.30679,2,1000,4
DAG,-0.0033489,-0.29646,3,1000,4
DAG,-0.0018479,-0.30644,4,1000,4
DAG,-0.0033602,-0.2884,5,1000,4
DAG,-0.00029532,-0.30133,6,1000,4
DAG,-0.00040124,-0.29573,7,1000,4
DAG,-0.0021071,-0.29213,8,1000,4
DAG,-0.00076179,-0.29164,9,1000,4
DAG,-0.0001277,-0.29712,10,1000,4
DAG,-0.00088147,-0.30457,1,1000,5
DAG,-0.0010061,-0.29083,2,1000,5
DAG,-0.0013331,-0.29578,3,1000,5
DAG,-0.0019807,-0.30697,4,1000,5
DAG,-0.0005188,-0.30769,5,1000,5
DAG,-0.000414,-0.2712,6,1000,5
DAG,-0.00047029,-0.29745,7,1000,5
DAG,-0.00080126,-0.2826,8,1000,5
DAG,-0.0089401,-0.29323,9,1000,5
DAG,-0.0023552,-0.34821,10,1000,5
DAG,-0.00078562,-0.31105,1,1000,6
DAG,-0.00059954,-0.30927,2,1000,6
DAG,-0.0016523,-0.29941,3,1000,6
DAG,-0.0024294,-0.29267,4,1000,6
DAG,-0.00045617,-0.29095,5,1000,6
DAG,-0.0050632,-0.31325,6,1000,6
DAG,-0.00054095,-0.31072,7,1000,6
DAG,-0.00044315,-0.30544,8,1000,6
DAG,-0.00010097,-0.31372,9,1000,6
DAG,-0.016009,-0.28786,10,1000,6
DAG,-0.0017692,-0.2791,1,1000,7
DAG,-0.0003913,-0.29522,2,1000,7
DAG,-0.0016139,-0.30836,3,1000,7
DAG,-0.0026961,-0.30421,4,1000,7
DAG,-0.0055964,-0.28483,5,1000,7
DAG,-0.00037594,-0.31262,6,1000,7
DAG,-0.0015969,-0.30427,7,1000,7
DAG,-0.0010158,-0.30722,8,1000,7
DAG,-0.00048154,-0.26998,9,1000,7
DAG,-0.0022359,-0.28258,10,1000,7
DAG,-0.0012402,-0.30045,1,1000,8
DAG,-0.0019368,-0.30038,2,1000,8
DAG,-0.00065747,-0.28355,3,1000,8
DAG,-0.0007775,-0.30483,4,1000,8
DAG,-0.00051522,-0.28752,5,1000,8
DAG,-0.0051018,-0.30427,6,1000,8
DAG,-0.0015853,-0.27762,7,1000,8
DAG,-0.00077134,-0.2837,8,1000,8
DAG,-0.00029969,-0.29854,9,1000,8
DAG,-0.0046056,-0.30697,10,1000,8
DAG,-0.0050637,-0.31165,1,1000,9
DAG,-0.0003759,-0.29937,2,1000,9
DAG,-0.00063911,-0.29065,3,1000,9
DAG,-0.00091478,-0.3035,4,1000,9
DAG,-0.002048,-0.30069,5,1000,9
DAG,-0.0049173,-0.29916,6,1000,9
DAG,-0.00067734,-0.33233,7,1000,9
DAG,-0.0051528,-0.30519,8,1000,9
DAG,-0.0013968,-0.28499,9,1000,9
DAG,-0.00098619,-0.29409,10,1000,9
DAG,-0.0014297,-0.29954,1,1000,10
DAG,-0.0060972,-0.30518,2,1000,10
DAG,-4.5542E-05,-0.309,3,1000,10
DAG,-0.00054919,-0.27228,4,1000,10
DAG,-0.00026119,-0.31891,5,1000,10
DAG,-0.0033934,-0.28048,6,1000,10
DAG,-0.0042506,-0.29623,7,1000,10
DAG,-0.00026494,-0.29644,8,1000,10
DAG,-0.00084432,-0.31294,9,1000,10
DAG,-0.0024457,-0.28711,10,1000,10
DAG,-5.5734E-05,-0.31325,1,1500,1
DAG,-0.00059613,-0.30282,2,1500,1
DAG,-0.00037742,-0.29264,3,1500,1
DAG,-0.0021892,-0.31772,4,1500,1
DAG,-0.0017944,-0.29553,5,1500,1
DAG,-0.00035369,-0.33289,6,1500,1
DAG,-0.0018349,-0.36367,7,1500,1
DAG,-0.00063991,-0.3396,8,1500,1
DAG,-0.003809,-0.31526,9,1500,1
DAG,-0.0023178,-0.31655,10,1500,1
DAG,-0.00014361,-0.30899,1,1500,2
DAG,-0.00025939,-0.34243,2,1500,2
DAG,-0.00099221,-0.34479,3,1500,2
DAG,-0.00112,-0.30883,4,1500,2
DAG,-0.00014742,-0.31488,5,1500,2
DAG,-6.6519E-05,-0.34872,6,1500,2
DAG,-0.0017576,-0.33207,7,1500,2
DAG,-0.0007198,-0.32817,8,1500,2
DAG,-0.0013229,-0.32876,9,1500,2
DAG,-0.0011602,-0.32745,10,1500,2
DAG,-0.0025087,-0.31845,1,1500,3
DAG,-0.00080308,-0.31955,2,1500,3
DAG,-0.00043297,-0.34279,3,1500,3
DAG,-0.00016533,-0.32436,4,1500,3
DAG,-1.5816E-05,-0.34048,5,1500,3
DAG,-0.00053772,-0.34853,6,1500,3
DAG,-0.0016351,-0.34039,7,1500,3
DAG,-0.00051839,-0.33931,8,1500,3
DAG,-0.0077593,-0.32043,9,1500,3
DAG,-2.3473E-05,-0.32612,10,1500,3
DAG,-0.00049398,-0.31518,1,1500,4
DAG,-0.0006032,-0.34301,2,1500,4
DAG,-0.001064,-0.3277,3,1500,4
DAG,-0.0006267,-0.34287,4,1500,4
DAG,-5.1456E-05,-0.32437,5,1500,4
DAG,-0.00011,-0.32935,6,1500,4
DAG,-0.00077198,-0.33316,7,1500,4
DAG,-0.0022537,-0.34528,8,1500,4
DAG,-0.003465,-0.31095,9,1500,4
DAG,-9.8138E-05,-0.32185,10,1500,4
DAG,-0.0018411,-0.32414,1,1500,5
DAG,-0.0016189,-0.30549,2,1500,5
DAG,-0.0016391,-0.30436,3,1500,5
DAG,-0.00031971,-0.29364,4,1500,5
DAG,-0.001657,-0.34239,5,1500,5
DAG,-0.00017995,-0.32868,6,1500,5
DAG,-0.00073466,-0.31891,7,1500,5
DAG,-0.00057308,-0.31353,8,1500,5
DAG,-0.00011683,-0.32465,9,1500,5
DAG,-0.001056,-0.33129,10,1500,5
DAG,-0.0016188,-0.3217,1,1500,6
DAG,-0.0018017,-0.38965,2,1500,6
DAG,-0.0024543,-0.31457,3,1500,6
DAG,-0.0014923,-0.36992,4,1500,6
DAG,-0.002868,-0.3457,5,1500,6
DAG,-0.00055106,-0.31614,6,1500,6
DAG,-0.00040392,-0.32738,7,1500,6
DAG,-0.0014413,-0.32512,8,1500,6
DAG,-0.00082336,-0.35894,9,1500,6
DAG,-0.0012428,-0.2957,10,1500,6
DAG,-6.0988E-05,-0.33436,1,1500,7
DAG,-0.0013112,-0.32953,2,1500,7
DAG,-0.00022016,-0.30738,3,1500,7
DAG,-0.00022275,-0.30469,4,1500,7
DAG,-0.00032153,-0.3171,5,1500,7
DAG,-0.00026464,-0.32197,6,1500,7
DAG,-0.00048617,-0.33656,7,1500,7
DAG,-0.0054139,-0.32478,8,1500,7
DAG,-0.00294,-0.35998,9,1500,7
DAG,-0.00025775,-0.33485,10,1500,7
DAG,-0.00013218,-0.30413,1,1500,8
DAG,-0.0002823,-0.31871,2,1500,8
DAG,-0.001218,-0.33572,3,1500,8
DAG,-0.0017119,-0.33012,4,1500,8
DAG,-0.0016114,-0.32192,5,1500,8
DAG,-0.00028072,-0.35521,6,1500,8
DAG,-0.0060166,-0.31121,7,1500,8
DAG,-0.00031945,-0.35779,8,1500,8
DAG,-0.0009312,-0.31546,9,1500,8
DAG,-0.0029978,-0.31615,10,1500,8
DAG,-0.0005589,-0.3391,1,1500,9
DAG,-0.0050416,-0.33651,2,1500,9
DAG,-0.0033597,-0.30248,3,1500,9
DAG,-0.00025295,-0.3306,4,1500,9
DAG,-0.00086478,-0.30333,5,1500,9
DAG,-0.00094846,-0.31695,6,1500,9
DAG,-5.7955E-05,-0.30202,7,1500,9
DAG,-0.0014199,-0.34095,8,1500,9
DAG,-0.00046554,-0.31452,9,1500,9
DAG,-0.00012916,-0.32832,10,1500,9
DAG,-0.00023941,-0.3644,1,1500,10
DAG,-0.0013322,-0.31868,2,1500,10
DAG,-0.0018622,-0.33224,3,1500,10
DAG,-0.00025583,-0.33417,4,1500,10
DAG,-0.0052011,-0.29281,5,1500,10
DAG,-0.0012031,-0.3147,6,1500,10
DAG,-0.00058665,-0.30775,7,1500,10
DAG,-0.00042211,-0.30963,8,1500,10
DAG,-0.00095403,-0.34287,9,1500,10
DAG,-0.00092836,-0.30634,10,1500,10
gnw,-0.0055813,-0.25695,1,500,1
gnw,-0.0028205,-0.29144,2,500,1
gnw,-0.0033128,-0.22608,3,500,1
gnw,-0.0045021,-0.29289,4,500,1
gnw,-0.00012021,-0.19424,5,500,1
gnw,-0.0030814,-0.30697,6,500,1
gnw,-0.0033584,-0.286,7,500,1
gnw,-0.0034912,-0.30527,8,500,1
gnw,-0.0068135,-0.31222,9,500,1
gnw,-0.00059664,-0.21394,10,500,1
gnw,-0.003146,-0.30548,1,500,2
gnw,-0.0087708,-0.19414,2,500,2
gnw,-0.001819,-0.28036,3,500,2
gnw,-0.002437,-0.26564,4,500,2
gnw,-0.0017555,-0.2659,5,500,2
gnw,-0.0023715,-0.32637,6,500,2
gnw,-0.0016476,-0.3456,7,500,2
gnw,-0.005413,-0.31802,8,500,2
gnw,-3.9131E-06,-0.24415,9,500,2
gnw,-0.0030524,-0.41224,10,500,2
gnw,-0.0017098,-0.2267,1,500,3
gnw,-0.0068661,-0.23756,2,500,3
gnw,-0.0016969,-0.20481,3,500,3
gnw,-0.0028032,-0.21988,4,500,3
gnw,-0.0037433,-0.20971,5,500,3
gnw,-0.0035932,-0.29316,6,500,3
gnw,-0.0045128,-0.30252,7,500,3
gnw,-0.0058189,-0.26773,8,500,3
gnw,-0.0035435,-0.30699,9,500,3
gnw,-0.0075563,-0.30777,10,500,3
gnw,-0.0078794,-0.22802,1,500,4
gnw,-0.0009593,-0.42502,2,500,4
gnw,-0.0009593,-0.1793,3,500,4
gnw,-0.0079299,-0.21296,4,500,4
gnw,-0.0075126,-0.22115,5,500,4
gnw,-0.0084498,-0.29049,6,500,4
gnw,-0.0013271,-0.26079,7,500,4
gnw,-0.0049775,-0.26404,8,500,4
gnw,-0.0088415,-0.25388,9,500,4
gnw,-0.0033801,-0.28895,10,500,4
gnw,-0.0016816,-0.18153,1,500,5
gnw,-0.0049685,-0.38719,2,500,5
gnw,-0.0017353,-0.23817,3,500,5
gnw,-0.0056752,-0.18895,4,500,5
gnw,-0.0050919,-0.2314,5,500,5
gnw,-0.0076267,-0.27803,6,500,5
gnw,-0.0067367,-0.28437,7,500,5
gnw,-0.011032,-0.26438,8,500,5
gnw,-0.00059709,-0.26038,9,500,5
gnw,-0.0043772,-0.39333,10,500,5
gnw,-0.00046448,-0.21693,1,500,6
gnw,-0.0022026,-0.2342,2,500,6
gnw,-0.0023908,-0.243,3,500,6
gnw,-0.0041886,-0.22096,4,500,6
gnw,-0.00012719,-0.23148,5,500,6
gnw,-0.0074527,-0.36879,6,500,6
gnw,-0.0066829,-0.27949,7,500,6
gnw,-0.0050916,-0.30993,8,500,6
gnw,-0.0086963,-0.34674,9,500,6
gnw,-0.0016362,-0.19867,10,500,6
gnw,-0.0049501,-0.26154,1,500,7
gnw,-0.0087178,-0.29438,2,500,7
gnw,-0.0044819,-0.21829,3,500,7
gnw,-0.003916,-0.33657,4,500,7
gnw,-0.0030682,-0.24813,5,500,7
gnw,-0.0017648,-0.32262,6,500,7
gnw,-0.0016606,-0.3839,7,500,7
gnw,-0.0044304,-0.27296,8,500,7
gnw,-0.0038033,-0.27278,9,500,7
gnw,-0.0045435,-0.33092,10,500,7
gnw,-0.0086037,-0.22168,1,500,8
gnw,-0.0051141,-0.31163,2,500,8
gnw,-0.0020915,-0.23992,3,500,8
gnw,-0.0022954,-0.27978,4,500,8
gnw,-0.0021845,-0.2024,5,500,8
gnw,-0.0055958,-0.29847,6,500,8
gnw,-0.0039531,-0.29094,7,500,8
gnw,-0.0071794,-0.30487,8,500,8
gnw,-0.0057804,-0.25334,9,500,8
gnw,-0.0060418,-0.31476,10,500,8
gnw,-0.0017156,-0.26562,1,500,9
gnw,-0.0062603,-0.2195,2,500,9
gnw,-0.0021851,-0.15475,3,500,9
gnw,-0.0080096,-0.31444,4,500,9
gnw,-0.0015901,-0.24003,5,500,9
gnw,-0.00011635,-0.30614,6,500,9
gnw,-0.00040803,-0.23641,7,500,9
gnw,-0.0036914,-0.33215,8,500,9
gnw,-0.0034764,-0.34712,9,500,9
gnw,-0.0039594,-0.30077,10,500,9
gnw,-0.0029375,-0.35309,1,500,10
gnw,-0.0049308,-0.21783,2,500,10
gnw,-0.00019977,-0.23543,3,500,10
gnw,-0.0029465,-0.21532,4,500,10
gnw,-0.0048996,-0.23163,5,500,10
gnw,-0.0066845,-0.29649,6,500,10
gnw,-0.0008292,-0.25222,7,500,10
gnw,-0.003392,-0.23907,8,500,10
gnw,-0.0094228,-0.26913,9,500,10
gnw,-0.0062221,-0.25208,10,500,10
gnw,-0.0026778,-0.21807,1,750,1
gnw,-0.0052038,-0.29581,2,750,1
gnw,-0.0021873,-0.2781,3,750,1
gnw,-0.0028202,-0.26595,4,750,1
gnw,-7.8084E-05,-0.29348,5,750,1
gnw,-0.0090822,-0.27175,6,750,1
gnw,-0.0027135,-0.35955,7,750,1
gnw,-0.00076857,-0.24014,8,750,1
gnw,-0.00057061,-0.23703,9,750,1
gnw,-0.0033328,-0.33574,10,750,1
gnw,-0.001826,-0.23288,1,750,2
gnw,-0.0026471,-0.24009,2,750,2
gnw,-0.0059671,-0.25146,3,750,2
gnw,-0.0022498,-0.24272,4,750,2
gnw,-0.006404,-0.39132,5,750,2
gnw,-0.0022105,-0.27013,6,750,2
gnw,-0.0034285,-0.26579,7,750,2
gnw,-0.00017981,-0.32541,8,750,2
gnw,-0.0039514,-0.24625,9,750,2
gnw,-0.0031578,-0.29721,10,750,2
gnw,-0.0036536,-0.25648,1,750,3
gnw,-0.0016856,-0.30526,2,750,3
gnw,-0.0041521,-0.265,3,750,3
gnw,-0.0056742,-0.24532,4,750,3
gnw,-0.00069499,-0.32463,5,750,3
gnw,-0.0049027,-0.28588,6,750,3
gnw,-0.0031825,-0.26023,7,750,3
gnw,-0.004703,-0.24269,8,750,3
gnw,-0.0014114,-0.24633,9,750,3
gnw,-0.00064362,-0.22386,10,750,3
gnw,-0.0041573,-0.24945,1,750,4
gnw,-0.0060708,-0.27506,2,750,4
gnw,-0.0012889,-0.29422,3,750,4
gnw,-0.0059776,-0.27787,4,750,4
gnw,-0.0036033,-0.2996,5,750,4
gnw,-0.0043328,-0.24165,6,750,4
gnw,-0.0043318,-0.28676,7,750,4
gnw,-0.0030061,-0.30473,8,750,4
gnw,-0.0025097,-0.24117,9,750,4
gnw,-0.0019246,-0.24057,10,750,4
gnw,-0.0027683,-0.24549,1,750,5
gnw,-0.0026411,-0.28754,2,750,5
gnw,-0.000126,-0.28517,3,750,5
gnw,-0.0041793,-0.24758,4,750,5
gnw,-0.0023251,-0.24695,5,750,5
gnw,-0.0037952,-0.39068,6,750,5
gnw,-0.0020801,-0.3291,7,750,5
gnw,-0.0020809,-0.26933,8,750,5
gnw,-0.0044567,-0.21636,9,750,5
gnw,-0.0010389,-0.31749,10,750,5
gnw,-9.7756E-05,-0.19601,1,750,6
gnw,-0.002565,-0.27276,2,750,6
gnw,-0.0050405,-0.22929,3,750,6
gnw,-0.0055088,-0.31068,4,750,6
gnw,-0.0066662,-0.2506,5,750,6
gnw,-0.0018685,-0.32119,6,750,6
gnw,-0.0027615,-0.31311,7,750,6
gnw,-0.0014121,-0.32222,8,750,6
gnw,-0.0038976,-0.27191,9,750,6
gnw,-0.003992,-0.23121,10,750,6
gnw,-0.0020197,-0.23811,1,750,7
gnw,-0.0032445,-0.283,2,750,7
gnw,-0.0020939,-0.32233,3,750,7
gnw,-0.0031311,-0.30345,4,750,7
gnw,-0.0017178,-0.33722,5,750,7
gnw,-0.0020339,-0.27999,6,750,7
gnw,-0.0038602,-0.3602,7,750,7
gnw,-0.00024989,-0.3307,8,750,7
gnw,-0.0012137,-0.24245,9,750,7
gnw,-0.003693,-0.19185,10,750,7
gnw,-0.0036933,-0.26611,1,750,8
gnw,-0.0025548,-0.31726,2,750,8
gnw,-0.0014884,-0.2997,3,750,8
gnw,-0.0014836,-0.35907,4,750,8
gnw,-0.0052867,-0.35013,5,750,8
gnw,-0.0039606,-0.29607,6,750,8
gnw,-0.0029785,-0.20099,7,750,8
gnw,-0.0045895,-0.3295,8,750,8
gnw,-0.0007786,-0.22347,9,750,8
gnw,-0.0011879,-0.30217,10,750,8
gnw,-0.0037557,-0.22655,1,750,9
gnw,-0.0052049,-0.2535,2,750,9
gnw,-0.0011736,-0.26222,3,750,9
gnw,-0.003872,-0.36088,4,750,9
gnw,-0.0056826,-0.27464,5,750,9
gnw,-0.001716,-0.31535,6,750,9
gnw,-0.0047685,-0.23265,7,750,9
gnw,-0.00024554,-0.29229,8,750,9
gnw,-0.0036764,-0.25635,9,750,9
gnw,-0.00015343,-0.23781,10,750,9
gnw,-0.0045864,-0.23184,1,750,10
gnw,-0.0024652,-0.36382,2,750,10
gnw,-0.0053733,-0.26705,3,750,10
gnw,-0.0049363,-0.34045,4,750,10
gnw,-0.0033323,-0.36502,5,750,10
gnw,-0.00061795,-0.26848,6,750,10
gnw,-0.0034233,-0.28619,7,750,10
gnw,-0.0049186,-0.23765,8,750,10
gnw,-0.0037462,-0.23505,9,750,10
gnw,-0.0016382,-0.36623,10,750,10
gnw,-0.00082841,-0.27421,1,1000,1
gnw,-0.0050144,-0.25532,2,1000,1
gnw,-0.0030728,-0.26846,3,1000,1
gnw,-0.0026393,-0.41645,4,1000,1
gnw,-0.0016159,-0.3917,5,1000,1
gnw,-0.0058131,-0.3243,6,1000,1
gnw,-0.00032216,-0.30161,7,1000,1
gnw,-0.0018779,-0.26522,8,1000,1
gnw,-0.00068458,-0.31589,9,1000,1
gnw,-0.0015008,-0.301,10,1000,1
gnw,-0.0034376,-0.26646,1,1000,2
gnw,-0.0060273,-0.26142,2,1000,2
gnw,-0.0026189,-0.24078,3,1000,2
gnw,-0.0039295,-0.27377,4,1000,2
gnw,-0.00075681,-0.28469,5,1000,2
gnw,-0.0038238,-0.27418,6,1000,2
gnw,-0.00037907,-0.30387,7,1000,2
gnw,-0.0003554,-0.32325,8,1000,2
gnw,-0.00050489,-0.26062,9,1000,2
