appY	appC	+
appY	yccB	+
appY	appB	+
appY	hyaF	+
appY	hyaE	+
appY	hyaD	+
appY	hyaC	+
appY	hyaB	+
appY	hyaA	+
appY	appA	+
dsdC	dsdX	+
dsdC	dsdA	+
dsdC	dsdC	-
feaR	feaB	+
fhlA	fdhF	+
fhlA	hycI	+
fhlA	hycA	+
fhlA	hycB	+
fhlA	hycC	+
fhlA	hycD	+
fhlA	hycE	+
fhlA	hycF	+
fhlA	hycG	+
fhlA	hycH	+
fhlA	hypA	+
fhlA	hypB	+
fhlA	hypC	+
fhlA	hypD	+
fhlA	hypE	+
fhlA	hypF	+
fhlA	hydN	+
fhlA	fhlA	+
flhC	yhjH	+
flhC	gltJ	+
flhC	gltK	+
flhC	gltL	+
flhC	flgA	+
flhC	flgB	+
flhC	flgC	+
flhC	flgD	+
flhC	flgE	+
flhC	flgF	+
flhC	flgG	+
flhC	flgH	+
flhC	flgI	+
flhC	flgJ	+
flhC	flgM	+
flhC	flhA	+
flhC	fliI	+
flhC	fliJ	+
flhC	fliK	+
flhC	gltI	+
flhC	flgN	+
flhC	ycgR	+
flhC	flhE	+
flhC	flhB	+
flhC	yecR	+
flhC	fliY	+
flhC	ygbK	+
flhD	flhA	+
flhD	fliI	+
flhD	fliJ	+
flhD	fliK	+
flhD	gltI	+
flhD	flgN	+
flhD	ycgR	+
flhD	flhE	+
flhD	flhB	+
flhD	yecR	+
flhD	fliY	+
flhD	ygbK	+
flhC	fliL	+
flhC	fliM	+
flhC	fliN	+
flhC	glpA	+
flhC	glpB	+
flhC	glpC	+
flhC	mdh	-
flhC	mglA	-
flhC	mglB	-
flhC	mglC	-
flhC	recC	+
flhC	fliD	+
flhC	ppdC	+
flhC	ygdB	+
flhC	ppdB	+
flhC	fliO	+
flhC	fliE	+
flhC	fliF	+
flhC	fliA	+
flhC	fliZ	+
flhC	fliS	+
flhC	fliT	+
flhC	hypF	+
flhC	hydN	+
flhC	fliG	+
flhC	fliH	+
flhC	nrfA	+
flhC	nrfB	+
flhC	nrfC	+
flhC	nrfD	+
flhC	nrfE	+
flhC	nrfF	+
flhC	nrfG	+
flhC	fliP	+
flhC	fliQ	+
flhC	fliR	+
flhC	ccmH	+
flhC	ccmG	+
flhC	ccmF	+
flhC	ccmE	+
flhC	ccmC	+
flhC	ccmB	+
flhC	ccmA	+
flhC	napC	+
flhC	napB	+
flhC	napH	+
flhC	napG	+
flhC	napA	+
flhC	napF	+
flhC	ppdA	+
flhC	napD	+
flhC	ccmD	+
flhD	glpA	+
flhD	glpB	+
flhD	glpC	+
flhD	mdh	-
flhD	mglA	-
flhD	mglB	-
flhD	mglC	-
flhD	recC	+
flhD	fliD	+
flhD	ppdC	+
flhD	ygdB	+
flhD	ppdB	+
flhD	fliO	+
flhD	fliE	+
flhD	fliF	+
flhD	fliA	+
flhD	fliZ	+
flhD	fliS	+
flhD	fliT	+
flhD	hypF	+
flhD	hydN	+
flhD	fliG	+
flhD	fliH	+
flhD	nrfA	+
flhD	nrfB	+
flhD	nrfC	+
flhD	nrfD	+
flhD	nrfE	+
flhD	nrfF	+
flhD	nrfG	+
flhD	fliP	+
flhD	fliQ	+
flhD	fliR	+
flhD	ccmH	+
flhD	ccmG	+
flhD	ccmF	+
flhD	ccmE	+
flhD	ccmC	+
flhD	ccmB	+
flhD	ccmA	+
flhD	napC	+
flhD	napB	+
flhD	napH	+
flhD	napG	+
flhD	napA	+
flhD	napF	+
flhD	ppdA	+
flhD	napD	+
flhD	ccmD	+
flhD	yhjH	+
flhD	gltJ	+
flhD	gltK	+
flhD	gltL	+
flhD	flgA	+
flhD	flgB	+
flhD	flgC	+
flhD	flgD	+
flhD	flgE	+
flhD	flgF	+
flhD	flgG	+
flhD	flgH	+
flhD	flgI	+
flhD	flgJ	+
flhD	flgM	+
flhD	fliL	+
flhD	fliM	+
flhD	fliN	+
fnr	moeA	-
fnr	dmsA	+
fnr	nikR	+
fnr	nrfA	+
fnr	nrfB	+
fnr	nrfC	+
fnr	nrfD	+
fnr	nrfE	+
fnr	nrfF	+
fnr	nrfG	+
fnr	ccmH	+
fnr	ccmG	+
fnr	ccmF	+
fnr	ccmE	+
fnr	ccmC	+
fnr	ccmB	+
fnr	ccmA	+
fnr	napC	+
fnr	napB	+
fnr	napH	+
fnr	napG	+
fnr	napA	+
fnr	napF	+
fnr	nikA	+
fnr	nikB	+
fnr	nikC	+
fnr	nikD	+
fnr	nikE	+
fnr	napD	+
fnr	ccmD	+
fnr	norW	-
fnr	hcr	+
fnr	hcp	+
fnr	ynfE	+
fnr	ynfF	+
fnr	ynfG	+
fnr	ynfH	+
fnr	dmsD	+
fnr	ydhT	+
